Datum;Gewässer;Methode;Gattung;Art;Geschlecht;Anzahl;Fundort;Bearbeiter;Bemerkungen;;;;;;
17.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;30;Kessel;Stoeckli_Steiner;;;;;;;
18.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;4;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;14;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;3;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;9;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;20;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;12;Kessel;Mangold_Moeller;;;;;;;
18.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;3;Kessel;Mangold_Moeller;;;;;;;
19.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;36;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;12;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;21;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;5;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;29;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;10;Kessel;Bissig_Ramseier;;;;;;;
19.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel;Bissig_Ramseier;;;;;;;
